log(1+z), log(T)
0.4933628318584069, 4.127819548872181
0.581858407079646, 4.135338345864662
0.7190265486725664, 4.12406015037594
0.8407079646017697, 4.112781954887218
1.0176991150442478, 4.063909774436091
1.0973451327433628, 4.022556390977444
1.1570796460176993, 3.9548872180451133
1.1836283185840708, 3.8421052631578956
1.2013274336283186, 3.7030075187969933
1.2721238938053099, 3.5300751879699255
1.358407079646018, 3.4172932330827077
1.4424778761061947, 3.3270676691729326
1.508849557522124, 3.251879699248121
1.6570796460176993, 3.0864661654135346
1.7632743362831858, 3.007518796992482
1.8716814159292035, 2.969924812030076
1.9623893805309736, 2.9548872180451133
2.1349557522123894, 3.0375939849624065
2.2278761061946906, 3.045112781954888
2.269911504424779, 3.033834586466166
2.3207964601769913, 3.0375939849624065
2.3849557522123894, 3.045112781954888
2.438053097345133, 3.0864661654135346
2.4933628318584073, 3.078947368421053
2.584070796460177, 3.0488721804511285
